[Type]	[PID]	[Module]                            	[Function]                                                               	[Length]	[Current Data]               	[Original Data]              	[Record Address]  	[RVA]
IAT   	6300 	SCPSL.exe::AudioSes.dll             	MMDevAPI.DLL!(#4)                                                        	8       	0x00007FFF8EFAD410           	0x00007FFF8EF8EA10           	0x00007FFF8B7DDA68	     
IAT   	6300 	SCPSL.exe::AudioSes.dll             	MMDevAPI.DLL!(#5)                                                        	8       	0x00007FFF8EF6A210           	0x00007FFF8EF6A200           	0x00007FFF8B7DDA70	     
IAT   	6300 	SCPSL.exe::KernelBase.dll           	ntdll.dll!(#8)                                                           	8       	0x00007FFF9A4EF120           	0x00007FFF9A4E0360           	0x00007FFF9822F530	     
IAT   	6300 	SCPSL.exe::steamclient64.dll        	ole32.dll!CLSIDFromString                                                	8       	0x00007FFF99118980           	0x00007FFF9A3F3BC0           	0x00007FFF30E6FFB8	     
IAT   	6300 	SCPSL.exe::GameAssembly.dll         	ole32.dll!CoCreateFreeThreadedMarshaler                                  	8       	0x00007FFF99096400           	0x00007FFF9A3F427C           	0x00007FFF381296C0	     
IAT   	6300 	SCPSL.exe::UnityPlayer.dll          	ole32.dll!CoCreateFreeThreadedMarshaler                                  	8       	0x00007FFF99096400           	0x00007FFF9A3F427C           	0x00007FFF3A36BFA0	     
IAT   	6300 	SCPSL.exe::drwamsi64.dll            	ole32.dll!CoCreateFreeThreadedMarshaler                                  	8       	0x00007FFF99096400           	0x00007FFF9A3F427C           	0x00007FFF7346E510	     
IAT   	6300 	SCPSL.exe::UnityPlayer.dll          	ole32.dll!CoCreateGuid                                                   	8       	0x00007FFF990E16C0           	0x00007FFF9A3F42C2           	0x00007FFF3A36BFD8	     
IAT   	6300 	SCPSL.exe::steamclient64.dll        	ole32.dll!CoCreateInstance                                               	8       	0x00007FFF9908C030           	0x00007FFF9A3F42FB           	0x00007FFF30E6FFD0	     
IAT   	6300 	SCPSL.exe::HttpProxy.dll            	ole32.dll!CoCreateInstance                                               	8       	0x00007FFF9908C030           	0x00007FFF9A3F42FB           	0x00007FFF319AC480	     
IAT   	6300 	SCPSL.exe::UnityPlayer.dll          	ole32.dll!CoCreateInstance                                               	8       	0x00007FFF9908C030           	0x00007FFF9A3F42FB           	0x00007FFF3A36BFE8	     
IAT   	6300 	SCPSL.exe::NvCamera64.dll           	ole32.dll!CoCreateInstance                                               	8       	0x00007FFF9908C030           	0x00007FFF9A3F42FB           	0x00007FFF42DF5850	     
IAT   	6300 	SCPSL.exe::MpOAV.dll                	ole32.dll!CoCreateInstance                                               	8       	0x00007FFF9908C030           	0x00007FFF9A3F42FB           	0x00007FFF73535C00	     
IAT   	6300 	SCPSL.exe::GameOverlayRenderer64.dll	ole32.dll!CoCreateInstance                                               	8       	0x00007FFF9908C030           	0x00007FFF9A3F42FB           	0x00007FFF809207E8	     
IAT   	6300 	SCPSL.exe::GpuDriver.dll            	ole32.dll!CoCreateInstance                                               	8       	0x00007FFF9908C030           	0x00007FFF9A3F42FB           	0x00007FFF87603160	     
